Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location
SFALCI,17/07/2021,07:00 AM,17/07/2021,07:10 AM,TRUE,SFALCI
ORG,20/07/2021,07:00 AM,20/07/2021,07:10 AM,TRUE,ORG
ORG,23/07/2021,07:00 AM,23/07/2021,07:10 AM,TRUE,ORG
ORG,27/07/2021,07:00 AM,27/07/2021,07:10 AM,TRUE,ORG
PLASTICA,28/07/2021,07:00 AM,28/07/2021,07:10 AM,TRUE,PLASTICA
VETRO,29/07/2021,07:00 AM,29/07/2021,07:10 AM,TRUE,VETRO
NON REC - ORG - CARTA,30/07/2021,07:00 AM,30/07/2021,07:10 AM,TRUE,NON REC - ORG - CARTA
SFALCI,31/07/2021,07:00 AM,31/07/2021,07:10 AM,TRUE,SFALCI
ORG,03/08/2021,07:00 AM,03/08/2021,07:10 AM,TRUE,ORG
ORG,06/08/2021,07:00 AM,06/08/2021,07:10 AM,TRUE,ORG
ORG,10/08/2021,07:00 AM,10/08/2021,07:10 AM,TRUE,ORG
PLASTICA,11/08/2021,07:00 AM,11/08/2021,07:10 AM,TRUE,PLASTICA
NON REC - ORG - CARTA,13/08/2021,07:00 AM,13/08/2021,07:10 AM,TRUE,NON REC - ORG - CARTA
SFALCI,14/08/2021,07:00 AM,14/08/2021,07:10 AM,TRUE,SFALCI
ORG,17/08/2021,07:00 AM,17/08/2021,07:10 AM,TRUE,ORG
ORG,20/08/2021,07:00 AM,20/08/2021,07:10 AM,TRUE,ORG
ORG,24/08/2021,07:00 AM,24/08/2021,07:10 AM,TRUE,ORG
PLASTICA,25/08/2021,07:00 AM,25/08/2021,07:10 AM,TRUE,PLASTICA
VETRO,26/08/2021,07:00 AM,26/08/2021,07:10 AM,TRUE,VETRO
NON REC - ORG - CARTA,27/08/2021,07:00 AM,27/08/2021,07:10 AM,TRUE,NON REC - ORG - CARTA
SFALCI,28/08/2021,07:00 AM,28/08/2021,07:10 AM,TRUE,SFALCI
ORG,31/08/2021,07:00 AM,31/08/2021,07:10 AM,TRUE,ORG
ORG,03/09/2021,07:00 AM,03/09/2021,07:10 AM,TRUE,ORG
ORG,07/09/2021,07:00 AM,07/09/2021,07:10 AM,TRUE,ORG
PLASTICA,08/09/2021,07:00 AM,08/09/2021,07:10 AM,TRUE,PLASTICA
NON REC - ORG - LAV - CARTA,10/09/2021,07:00 AM,10/09/2021,07:10 AM,TRUE,NON REC - ORG - LAV - CARTA
SFALCI,11/09/2021,07:00 AM,11/09/2021,07:10 AM,TRUE,SFALCI
ORG,14/09/2021,07:00 AM,14/09/2021,07:10 AM,TRUE,ORG
ORG,17/09/2021,07:00 AM,17/09/2021,07:10 AM,TRUE,ORG
ORG,21/09/2021,07:00 AM,21/09/2021,07:10 AM,TRUE,ORG
PLASTICA,22/09/2021,07:00 AM,22/09/2021,07:10 AM,TRUE,PLASTICA
VETRO,23/09/2021,07:00 AM,23/09/2021,07:10 AM,TRUE,VETRO
